"molecular.formula","mz","DBE","HC","OC","NC","C","H","N","O","S","Class","AI","AImod","NOSC","DBE_O","GFE","Compound.category","fl.categories","categories","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","cluster","order"
"C14H15O13N1S0",404.047063,8,1.07142857143,0.928571428571,0.0714285714285714,14,15,1,13,0,"CHON",0,0.0769230769230769,1,-5,31.8,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11987
"C14H15O6N1S0",292.082661,8,1.07142857143,0.428571428571,0.0714285714285714,14,15,1,6,0,"CHON",0.142857142857143,0.4,0,2,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",11746
"C14H15O7N1S0",308.077575,8,1.07142857143,0.5,0.0714285714285714,14,15,1,7,0,"CHON",0,0.368421052631579,0.142857142857143,1,56.2285714285714,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11976
"C14H15O8N1S0",324.07249,8,1.07142857143,0.571428571429,0.0714285714285714,14,15,1,8,0,"CHON",0,0.333333333333333,0.285714285714286,0,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11512
"C14H15O9N1S0",340.067405,8,1.07142857143,0.642857142857,0.0714285714285714,14,15,1,9,0,"CHON",0,0.294117647058824,0.428571428571428,-1,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11754
"C14H16O10N0S0",343.06707,7,1.14285714286,0.714285714286,0,14,16,0,10,0,"CHO",0,0.222222222222222,0.285714285714286,-3,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11513
"C14H16O10N0S1",375.039141,7,1.14285714286,0.714285714286,0,14,16,0,10,1,"CHOS",0,0.125,0.428571428571428,-3,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11755
"C14H16O10N2S0",371.073218,8,1.14285714286,0.714285714286,0.142857142857143,14,16,2,10,0,"CHON",0,0.142857142857143,0.714285714285714,-2,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11017
"C14H16O11N0S0",359.061985,7,1.14285714286,0.785714285714,0,14,16,0,11,0,"CHO",0,0.176470588235294,0.428571428571428,-4,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11256
"C14H16O11N0S1",391.034056,7,1.14285714286,0.785714285714,0,14,16,0,11,1,"CHOS",0,0.0666666666666667,0.571428571428572,-4,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11269
