site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year,pointid,month,Year,Month,flacc_km2,strahler.order,dis_m3s,vel_ms,wrt_min,travel.time_min,travel.time_days,Season
ROM-000.22,LRH14,LR,2015,2,213,2015-08-01,River,50.30009,-63.8122,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-000.22,LRH14,LR,2015,2,213,2015-08-01,River,50.30009,-63.8122,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-000.23,LRH15,LR,2015,2,213,2015-08-01,River,50.30076,-63.81276,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-000.23,LRH15,LR,2015,2,213,2015-08-01,River,50.30076,-63.81276,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
NA,LR60,LR,2016,1,161,2016-06-09,River,50.30492,-63.58691,Downriver,546990,6,2016,6,12841.6428,7,410.096472008247,0.580142103853266,0.51711468277758,917900.4666951,637.426800091746,Spring
NA,LR67,LR,2016,1,166,2016-06-14,River,50.3096,-63.6232,Downriver,545841,6,2016,6,12860.1432,7,410.392734748415,0.579858036564159,0.517368012656329,916099.87642593,636.176398185223,Spring
NA,LR67.1,LR,2016,1,166,2016-06-14,River,50.30902,-63.62474,Downriver,545772,6,2016,6,12860.1432,7,410.392734748415,0.579858036564159,0.517368012656329,916101.428529968,636.177476028351,Spring
NA,LR67.2,LR,2016,1,166,2016-06-14,River,50.31002,-63.62158,Downriver,546140,6,2016,6,12860.0784,7,410.39169757353,0.579859030828005,0.51736712554363,916093.150651057,636.17172753812,Spring
NA,LR67.3,LR,2016,1,166,2016-06-14,River,50.30859,-63.63934,Downriver,545768,6,2016,6,12864.6468,7,410.464809404148,0.579788947577621,0.517429663420475,915836.336046653,635.993385204237,Spring
NA,LR67.4,LR,2016,1,166,2016-06-14,River,50.3033,-63.66057,Downriver,547036,6,2016,6,12869.6364,7,410.544641190412,0.579712431367237,0.51749795893191,915552.87679865,635.796539764054,Spring
NA,LR67.5,LR,2016,1,166,2016-06-14,River,50.30596,-63.71086,Downriver,546070,6,2016,6,14032.6344,7,428.58391689445,0.562651058545598,0.533190145905835,1102858.56925205,765.869104831392,Spring
NA,LR67.6,LR,2016,1,166,2016-06-14,River,50.32449,-63.74258,Downriver,541914,6,2016,6,14064.5808,7,429.064166566071,0.562203001962776,0.533615080233711,1096871.11882792,761.71117975886,Spring
NA,LR68,LR,2016,1,166,2016-06-14,River,50.31653,-63.76784,Downriver,543898,6,2016,6,14089.9824,7,429.44547130147,0.561847482712159,0.533952734916307,1092382.647875,758.594205990316,Spring
NA,LR85,LR,2016,2,229,2016-08-16,River,50.30941,-63.62207,Downriver,545972,8,2016,8,12860.1108,7,215.68589960319,0.297396199451977,1.00875532556509,1028227.36230436,714.042209478641,Summer
NA,LR85.1,LR,2016,2,229,2016-08-16,River,50.30907,-63.63949,Downriver,545738,8,2016,8,12864.6468,7,215.72405173728,0.29736051032131,1.0088763961154,1027968.74042242,713.862612098945,Summer
NA,LR85.2,LR,2016,2,229,2016-08-16,River,50.30453,-63.65939,Downriver,546810,8,2016,8,12869.5716,7,215.765463347909,0.297321776461035,1.00900782838998,1027686.04091962,713.66629425622,Summer
NA,LR85.3,LR,2016,2,229,2016-08-16,River,50.30895,-63.70796,Downriver,546160,8,2016,8,14032.602,7,225.246481027322,0.288571111755387,1.03960510175496,1194840.06018147,829.74473139242,Summer
NA,LR85.4,LR,2016,2,229,2016-08-16,River,50.31747,-63.7329,Downriver,543495,8,2016,8,14054.3424,7,225.418291218129,0.288414669288271,1.04016900645282,1190392.37876425,826.656083509049,Summer
NA,LR85.5,LR,2016,2,229,2016-08-16,River,50.32151,-63.75546,Downriver,542658,8,2016,8,14085.1224,7,225.661214547745,0.288193602649496,1.04096689601005,1183807.33452268,822.083165385933,Summer
NA,LR86,LR,2016,2,229,2016-08-16,River,50.31247,-63.77887,Downriver,544757,8,2016,8,14104.1412,7,225.81112562706,0.288057254494669,1.04145962415104,1181028.94214301,820.153738581793,Summer
NA,LR89,LR,2016,3,282,2016-10-08,River,50.30912,-63.62273,Downriver,545935,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR89.1,LR,2016,3,282,2016-10-08,River,50.31081,-63.62877,Downriver,545657,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR89.2,LR,2016,3,282,2016-10-08,River,50.30891,-63.63954,Downriver,545738,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR89.3,LR,2016,3,282,2016-10-08,River,50.30424,-63.65835,Downriver,546757,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR89.4,LR,2016,3,282,2016-10-08,River,50.30875,-63.70465,Downriver,546367,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR89.5,LR,2016,3,282,2016-10-08,River,50.32377,-63.73646,Downriver,542284,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR90,LR,2016,3,282,2016-10-08,River,50.3129,-63.77977,Downriver,544755,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR96,LR,2016,3,285,2016-10-11,River,50.30234,-63.58992,Downriver,546975,10,2016,10,NA,NA,NA,NA,NA,NA,NA,Autumn
NA,LR109,LR,2017,1,165,2017-06-14,River,50.30453,-63.60023,Downriver,546938,6,2017,6,12845.5632,7,410.159277766104,0.580081873084925,0.517168375568391,1034224.5850373,718.206920833302,Spring
NA,LR110,LR,2017,1,167,2017-06-16,River,50.30984,-63.62226,Downriver,545897,6,2017,6,12860.1108,7,410.392216161432,0.579858533695451,0.517367569100162,1032480.02353504,716.995427543672,Spring
NA,LR110.1,LR,2017,1,167,2017-06-16,River,50.3113,-63.62454,Downriver,545620,6,2017,6,12860.1756,7,410.393253334481,0.579857539434126,0.517368456212133,1032485.19721607,716.999020354731,Spring
NA,LR110.2,LR,2017,1,167,2017-06-16,River,50.30999,-63.64499,Downriver,545610,6,2017,6,12867.66,7,410.513022111864,0.579742736164124,0.517470907846046,1031812.95063594,716.532185439624,Spring
NA,LR111,TR,2017,1,167,2017-06-16,River,50.31068,-63.66114,Downriver,546307,6,2017,6,12868.5348,7,410.527017862869,0.579729321987561,0.517482881444518,1031842.96419925,716.55302805853,Spring
NA,LR111.1,LR,2017,1,167,2017-06-16,River,50.303,-63.66302,Downriver,547086,6,2017,6,12869.6688,7,410.54515950752,0.579711934606319,0.517498402381054,1031857.45401635,716.563090367117,Spring
NA,LR111.2,LR,2017,1,167,2017-06-16,River,50.30905,-63.70509,Downriver,546304,6,2017,6,14031.792,7,428.571242525216,0.562662887582831,0.533178936483235,1197996.61878293,831.936771947621,Spring
NA,LR111.3,LR,2017,1,167,2017-06-16,River,50.3233,-63.73782,Downriver,542226,6,2017,6,14064.0624,7,429.056379704113,0.562210264318529,0.533608187256485,1191478.88490765,827.410596835268,Spring
NA,LR112,LR,2017,1,167,2017-06-16,River,50.31496,-63.77327,Downriver,544455,6,2017,6,14090.5332,7,429.453733933745,0.561839781039282,0.533960054314889,1186625.25828921,824.040044366361,Spring
NA,LR121,LR,2017,2,229,2017-08-17,River,50.3041661760171,-63.5958847693471,Downriver,547059,8,2017,8,12845.0772,7,215.559384862071,0.297514574070218,1.00835396362531,1024932.90710339,711.75440800888,Summer
NA,LR126,LR,2017,2,230,2017-08-18,River,50.31345,-63.77851,Downriver,544721,8,2017,8,14104.0764,7,225.810615102684,0.288057718733363,1.04145794571709,1177036.58844379,817.381288478909,Summer
NA,LR127,LR,2017,2,230,2017-08-18,River,50.3097,-63.62239,Downriver,545897,8,2017,8,12860.1108,7,215.68589960319,0.297396199451977,1.00875532556509,1023288.60842799,710.612541236734,Summer
NA,LR127.1,LR,2017,2,230,2017-08-18,River,50.31028,-63.64479,Downriver,545611,8,2017,8,12867.66,7,215.749390427505,0.297336809542677,1.00895681386176,1022678.0916015,710.188573931747,Summer
NA,LR127.2,LR,2017,2,230,2017-08-18,River,50.30258,-63.66449,Downriver,547175,8,2017,8,12869.7336,7,215.766825382654,0.297320502574385,1.00901215154157,1022775.96267759,710.256539521826,Summer
NA,LR127.3,LR,2017,2,230,2017-08-18,River,50.30902,-63.70364,Downriver,546368,8,2017,8,14031.7272,7,225.239563665593,0.288577411960941,1.03958240515583,1190778.73848508,826.924387153582,Summer
NA,LR127.4,LR,2017,2,230,2017-08-18,River,50.32486,-63.74102,Downriver,542015,8,2017,8,14064.4512,7,225.498114325754,0.288342011594204,1.04043111283486,1184412.29920469,822.503277059705,Summer
NA,LR136,LR,2017,3,279,2017-10-06,River,50.30966,-63.62288,Downriver,545841,10,2017,10,12860.1432,7,215.686172151976,0.29739594448469,1.00875619040408,1062997.42611869,738.187932593866,Autumn
NA,LR136.1,LR,2017,3,279,2017-10-06,River,50.30966,-63.62288,Downriver,545841,10,2017,10,12860.1432,7,215.686172151976,0.29739594448469,1.00875619040408,1062997.42611869,738.187932593866,Autumn
NA,LR136.2,LR,2017,3,279,2017-10-06,River,50.31096,-63.64529,Downriver,545609,10,2017,10,12867.66,7,215.749390427505,0.297336809542677,1.00895681386176,1062360.19266347,737.745412193218,Autumn
NA,LR136.3,LR,2017,3,279,2017-10-06,River,50.30205,-63.66872,Downriver,547208,10,2017,10,12869.9604,7,215.768732211047,0.297318719160192,1.00901820392399,1062474.20813171,737.824589094987,Autumn
NA,LR136.4,LR,2017,3,279,2017-10-06,River,50.30909,-63.70309,Downriver,546428,10,2017,10,14031.6948,7,225.239307461084,0.288577645309626,1.0395815645322,1223236.92820842,849.464652425056,Autumn
NA,LR136.5,LR,2017,3,279,2017-10-06,River,50.31886,-63.73458,Downriver,543129,10,2017,10,14054.5692,7,225.420082571853,0.288413038559637,1.04017488771738,1218716.58360562,846.325544319087,Autumn
NA,LR137,LR,2017,3,279,2017-10-06,River,50.31519,-63.7739,Downriver,544498,10,2017,10,14090.5656,7,225.704134054113,0.288154560367966,1.04110793741007,1211813.60067302,841.531836851369,Autumn
NA,LR142,LR,2017,3,283,2017-10-10,River,50.30284,-63.59752,Downriver,547051,10,2017,10,12845.1744,7,215.56020317949,0.297513808269381,1.00835655912941,1064739.18967512,739.397482877992,Autumn
NA,LR147,LR,2018,1,160,2018-06-09,River,50.30375,-63.58659,Downriver,546991,6,2018,6,12841.6428,7,410.096472008247,0.580142103853266,0.51711468277758,904972.512550122,628.449111615307,Spring
NA,LR150,LR,2018,1,161,2018-06-10,River,50.30875,-63.62276,Downriver,545935,6,2018,6,12860.1108,7,410.392216161432,0.579858533695451,0.517367569100162,903205.75458947,627.222204217111,Spring
NA,LR150.1,LR,2018,1,161,2018-06-10,River,50.30714,-63.6337,Downriver,545893,6,2018,6,12863.6424,7,410.448736737368,0.579804353803271,0.51741591457899,902934.051646658,627.033522825505,Spring
NA,LR150.2,LR,2018,1,161,2018-06-10,River,50.30837,-63.70074,Downriver,546506,6,2018,6,14031.63,7,428.568805084091,0.562665162481204,0.533176780799934,1092292.87484999,758.53186401083,Spring
NA,LR151,LR,2018,1,161,2018-06-10,River,50.31536,-63.77312,Downriver,544370,6,2018,6,14090.5008,7,429.453247902956,0.561840234070306,0.533959623764608,1081955.91655981,751.353466695795,Spring
NA,LR155,LR,2018,2,222,2018-08-10,River,50.30901,-63.62223,Downriver,545935,8,2018,8,12860.1108,7,215.68589960319,0.297396199451977,1.00875532556509,1106359.50835717,768.300296983553,Summer
NA,LR155.1,LR,2018,2,222,2018-08-10,River,50.30858,-63.6338,Downriver,545893,8,2018,8,12863.6424,7,215.715604580007,0.297368411822607,1.00884958883583,1106045.84107792,768.082473878149,Summer
NA,LR155.2,LR,2018,2,222,2018-08-10,River,50.30866,-63.64862,Downriver,545530,8,2018,8,12867.7572,7,215.750207735153,0.297336045094448,1.00895940788042,1105710.15696832,767.849361405081,Summer
NA,LR155.3,LR,2018,2,222,2018-08-10,River,50.30231,-63.66432,Downriver,547136,8,2018,8,12869.7336,7,215.766825382654,0.297320502574385,1.00901215154157,1105786.83976319,767.902613005148,Summer
NA,LR155.4,LR,2018,2,222,2018-08-10,River,50.30883,-63.70369,Downriver,546368,8,2018,8,14031.7272,7,225.239563665593,0.288577411960941,1.03958240515583,1258696.91391129,874.089484896558,Summer
NA,LR155.5,LR,2018,2,222,2018-08-10,River,50.31874,-63.73459,Downriver,543308,8,2018,8,14054.4072,7,225.41880303559,0.288414203363049,1.04017068681728,1254028.85411885,870.847797454297,Summer
NA,LR156,LR,2018,2,222,2018-08-10,River,50.31548,-63.7736344,Downriver,544499,8,2018,8,14090.5656,7,225.704134054113,0.288154560367966,1.04110793741007,1246922.72118658,865.913014500809,Summer
NA,LR174,LR,2018,3,284,2018-10-11,River,50.309171,-63.62262,Downriver,545935,10,2018,10,12860.1108,7,215.68589960319,0.297396199451977,1.00875532556509,1182661.85960552,821.287701784455,Autumn
NA,LR174.1,LR,2018,3,284,2018-10-11,River,50.31035,-63.6257,Downriver,545536,10,2018,10,12860.1756,7,215.686444700279,0.29739568951805,1.00875705524236,1182673.96468158,821.296108033474,Autumn
NA,LR174.2,LR,2018,3,284,2018-10-11,River,50.31028,-63.64526,Downriver,545609,10,2018,10,12867.66,7,215.749390427505,0.297336809542677,1.00895681386176,1181943.08713414,820.788557429431,Autumn
NA,LR174.3,LR,2018,3,284,2018-10-11,River,50.30263,-63.66355,Downriver,547083,10,2018,10,12869.7012,7,215.766552976669,0.297320757350423,1.00901128691267,1182031.87721454,820.850216812867,Autumn
NA,LR174.4,LR,2018,3,284,2018-10-11,River,50.30823,-63.70228,Downriver,546430,10,2018,10,14031.6624,7,225.239051256151,0.288577878658863,1.03958072390795,1321072.09800613,917.40530773938,Autumn
NA,LR174.5,LR,2018,3,284,2018-10-11,River,50.31734,-63.73404,Downriver,543495,10,2018,10,14054.3424,7,225.418291218129,0.288414669288271,1.04016900645282,1316165.53454759,913.997993811232,Autumn
NA,LR175,LR,2018,3,284,2018-10-11,River,50.31517,-63.77365,Downriver,544499,10,2018,10,14090.5656,7,225.704134054113,0.288154560367966,1.04110793741007,1308701.65583423,908.81477787752,Autumn
ROM-018.75,LRH06,LR,2015,1,163,2015-06-12,River,50.30508,-63.58665,Downriver,546991,6,2015,6,12841.6428,7,410.096472008247,0.580142103853266,0.51711468277758,911740.192036507,633.148858957832,Spring
ROM-018.75,LRH06,LR,2015,1,163,2015-06-12,River,50.30508,-63.58665,Downriver,546991,6,2015,6,12841.6428,7,410.096472008247,0.580142103853266,0.51711468277758,911740.192036507,633.148858957832,Spring
ROM-000.26,LRH07,LR,2015,1,163,2015-06-12,River,50.30083,-63.81233,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-000.26,LRH07,LR,2015,1,163,2015-06-12,River,50.30083,-63.81233,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-000.22,LRH08,LR,2015,1,163,2015-06-12,River,50.30064,-63.81285,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-000.22,LRH08,LR,2015,1,163,2015-06-12,River,50.30064,-63.81285,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-000.35,LRH09,LR,2015,1,163,2015-06-12,River,50.29303,-63.811132,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-000.35,LRH09,LR,2015,1,163,2015-06-12,River,50.29303,-63.811132,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-000.47,LRH10,LR,2015,1,163,2015-06-12,River,50.29588,-63.804823,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-000.47,LRH10,LR,2015,1,163,2015-06-12,River,50.29588,-63.804823,Downriver,546782,6,2015,6,14113.44,7,429.797157527902,0.561519755532714,0.534264372791995,1083746.29501055,752.59677710713,Spring
ROM-018.82,LRH13,LR,2015,2,213,2015-08-01,River,50.30518,-63.58514,Downriver,546998,8,2015,8,12841.6428,7,215.530468186073,0.297541636109906,1.00826225170445,916612.272880158,636.532226778897,Summer
ROM-018.82,LRH13,LR,2015,2,213,2015-08-01,River,50.30518,-63.58514,Downriver,546998,8,2015,8,12841.6428,7,215.530468186073,0.297541636109906,1.00826225170445,916612.272880158,636.532226778897,Summer
ROM-000.22,LRH14,LR,2015,2,213,2015-08-01,River,50.30009,-63.8122,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-000.22,LRH14,LR,2015,2,213,2015-08-01,River,50.30009,-63.8122,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-000.23,LRH15,LR,2015,2,213,2015-08-01,River,50.30076,-63.81276,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-000.23,LRH15,LR,2015,2,213,2015-08-01,River,50.30076,-63.81276,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
NA,LR01,LR,2015,1,158,2015-06-07,River,50.3808166666667,-63.2654833333333,Downriver,531921,6,2015,6,12692.9268,7,407.703997730347,0.582440647474846,0.515073941526301,924873.163134397,642.268919407051,Spring
ROM-050.78,LR01.1,LR,2015,1,158,2015-06-07,River,50.38165,-63.26705,Downriver,531739,6,2015,6,12692.1492,7,407.691436501279,0.582452736956742,0.515063250569429,924869.557655394,642.266415618212,Spring
ROM-047.68,LR01.10,LR,2015,1,158,2015-06-07,River,50.35494,-63.27006,Downriver,536916,6,2015,6,12700.1196,7,407.820163530284,0.582328854990542,0.515172822759869,924411.147561613,641.948077312687,Spring
