site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
ROM-234.53,LR19.4,LR,2015,1,167,2015-06-16,River,51.53944,-63.73846,Upriver
ROM-216.20,LR19.5,LR,2015,1,167,2015-06-16,River,51.39066,-63.74554,Upriver
ROM-216.23,LR19.6,LR,2015,1,167,2015-06-16,River,51.39073,-63.74631,Upriver
ROM-199.57,LR20,LR,2015,1,167,2015-06-16,River,51.38239,-63.5853,Upriver
ROM-198.85,LR20.1,LR,2015,1,167,2015-06-16,River,51.37774,-63.5785,Upriver
ROM-181.56,LR21,LR,2015,1,167,2015-06-16,River,51.31361,-63.39849,Upriver
ROM-180.78,LR21.1,LR,2015,1,167,2015-06-16,River,51.30699,-63.39504,Upriver
ROM-180.61,LR21.2,LR,2015,1,167,2015-06-16,River,51.30486,-63.39742,Upriver
ROM-175.11,LR22,LR,2015,1,167,2015-06-16,River,51.26843,-63.34822,Upriver
ROM-165.01,LR23,LR,2015,1,167,2015-06-16,River,51.18059,-63.3664,Upriver
ROM-082.47,LRH01 ,LR,2015,1,162,2015-06-11,River,50.63128,-63.17061,Downriver
ROM-060.18,LRH02 ,LR,2015,1,162,2015-06-11,River,50.44343,-63.23006,Downriver
ROM-054.75,LRH03,LR,2015,1,162,2015-06-11,River,50.4007,-63.2344,Downriver
ROM-041.89,LRH04,LR,2015,1,163,2015-06-12,River,50.31684,-63.30894,Downriver
ROM-026.36,LRH05,LR,2015,1,163,2015-06-12,River,50.31095,-63.48326,Downriver
ROM-018.75,LRH06,LR,2015,1,163,2015-06-12,River,50.30508,-63.58665,Downriver
ROM-000.26,LRH07,LR,2015,1,163,2015-06-12,River,50.30083,-63.81233,Downriver
ROM-000.22,LRH08,LR,2015,1,163,2015-06-12,River,50.30064,-63.81285,Downriver
ROM-000.35,LRH09,LR,2015,1,163,2015-06-12,River,50.29303,-63.811132,Downriver
ROM-000.47,LRH10,LR,2015,1,163,2015-06-12,River,50.29588,-63.804823,Downriver
