"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","sample.type.year","Season","lat","long","temp.water.ysi","do.cor.perc.ysi","ph.ysi","DOC","bact.abundance","elev_m","flacc_npx","uplength_m","snapped_lat_tm5","snapped_long_tm5"
"LR42","ROM-307.27","LR42","LR",2015,2,222,"2015-08-10","River","Upriver","August",52.06438,-63.84188,17.11,101.78879565617,6.94,5.34898544566026,854500,469.0039978,22669700,193465,5770042.3605,349955.573552
"LR44","ROM-264.49","LR44","LR",2015,2,222,"2015-08-10","River","Upriver","August",51.7801,-63.71386,17.94,102.664453510274,6.77,5.85732497609689,1023000,443.2009888,33192800,239403,5738593.668,359034.716613
"LR45","ROM-200.11","LR45","LR",2015,2,223,"2015-08-11","River","Upriver","August",51.38594,-63.59067,17.05,102.911133742807,6.83,6.22171464995219,1054500,382.9519958,41243200,309558,5694870.82901,368121.524905
"LRH11","ROM-041.89","LRH11","LR",2015,2,213,"2015-08-01","River","Downriver","August",50.31672,-63.3089,15.2,81.6292018842059,7.48,6.68150194393288,1345500,25.0676994,64101100,486296,5576120.44343,389660.739348
"LRH14","ROM-000.22","LRH14","LR",2015,2,213,"2015-08-01","River","Downriver","August",50.30009,-63.8122,15.22,98.4372547581958,6.53,7.59156947002251,1306500,0.260546,71272896,529522,5574114.19468,354440.554646
"M09","ES-03C","M09","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.2591,-63.83741,15.4,70.8781714383001,7.86,2.29469882077977,709500,0,743,10623.2998047,5569330.94379,352054.950666
"M10","ES-03B","M10","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.25995,-63.83869,13.7,65.2248452156038,7.94,1.17019016254117,463000,0,752,10729.2998047,5569419.71859,351958.296447
"M11","ES-03A","M11","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.26222,-63.84091,16.3,103.714761370855,7.67,2.74673324126208,564500,0,758,10837.7998047,5569614.57521,351746.144865
"M12","ES-02","M12","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.27225,-63.85675,16.78,104.561608590216,7.64,4.11452246892595,849000,0,130,1858.7199707,5570767.09536,350644.187108
"M13","ES-05","M13","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.23985,-63.76012,11.7,73.4155135794499,7.9,0.394666949962817,410000,0,365,5218.7202148,5567255.0836,357584.744132
"M14","ES-06","M14","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.24043,-63.72075,12.84,68.721853885582,7.91,0.285243811749708,462000,0,174,2487.8300781,5566573.91487,360200.784307
"M15","ES-07","M15","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.2174,-63.70496,12.62,74.0200588552073,7.88,0.321364070965686,528000,0,235,3360,5564729.61163,361410.957687
"M16","ES-01","M16","ES",2015,2,226,"2015-08-14","Marine","Estuary","August",50.28235,-63.86902,14.67,79.4975659521032,7.78,1.82088600871136,666500,0,849,12144.7998047,5571852.55715,349772.617656
"PR13","PR-01A","PR13","PR",2015,2,167,"2015-08-02","Stream","Stream","August",51.368157,-63.876955,9.92,92.5723318694282,5.5,13.2131164313485,787000,521.0239868,448157,26573.9003906,5692433.55965,348354.212886
"PR15","PR-03B","PR15","PR",2015,2,215,"2015-08-03","Stream","Stream","August",51.30254,-63.87091,13.85,85.0614991537552,6.29,8.47963986085533,1244000,497.118988,520224,23446.5996094,5685361.88587,348654.468011
"PR17","PR-02B","PR17","PR",2015,2,215,"2015-08-03","Stream","Stream","August",51.3055,-63.86446,12.89,94.119264935462,5.79,8.03509310415388,742500,494.2070007,1171750,35974.6015625,5685670.67041,349115.0894
"PR19","PR-05A","PR19","PR",2015,2,217,"2015-08-05","Stream","Stream","August",51.20287,-63.92476,9.89,95.2998036524377,NA,5.14579496623695,383250,605.6829834,14430,3888.3500977,5674249.50489,345005.68584
"PR21","PR-04B","PR21","PR",2015,2,218,"2015-08-06","Stream","Stream","August",51.21028,-63.92063,12.51,92.3438720756776,6.57,4.94782074892572,512500,589.2349854,107913,7089.9799805,5675070.2714,345222.98087
