site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,lat,long,temp.water.ysi,do.cor.perc.ysi,ph.ysi,DOC,bact.abundance
PR-04B,PR03,PR,2015,1,159,2015-06-08,Stream,Stream,51.21028,-63.92063,4.97,102.888092299271,6.06,4.70500053538923,682500
PR-04B,PR03.1,PR,2015,1,159,2015-06-08,Stream,Stream,51.21028,-63.92063,4.97,NA,NA,NA,NA
PR-04B,PR03.2,PR,2015,1,159,2015-06-08,Stream,Stream,51.21028,-63.92063,4.97,NA,NA,NA,NA
PR-04B,PR03.3,PR,2015,1,159,2015-06-08,Stream,Stream,51.21028,-63.92063,4.97,NA,NA,NA,NA
PR-04A,PR04,PR,2015,1,159,2015-06-08,Stream,Stream,51.21305,-63.92265,6.31,104.733815376662,6.09,4.61719670200236,NA
PR-04A,PR04.1,PR,2015,1,159,2015-06-08,Stream,Stream,51.21305,-63.92265,6.31,NA,NA,NA,NA
PR-04A,PR04.2,PR,2015,1,159,2015-06-08,Stream,Stream,51.21305,-63.92265,6.31,NA,NA,NA,NA
PR-05A,PR05,PR,2015,1,164,2015-06-13,Stream,Stream,51.20287,-63.92476,4.31,58.6045184879068,5.9,5.5303664921466,1100000
PR-05A,PR05.1,PR,2015,1,164,2015-06-13,Stream,Stream,51.20287,-63.92476,4.31,NA,NA,NA,NA
PR-05A,PR05.2,PR,2015,1,164,2015-06-13,Stream,Stream,51.20287,-63.92476,4.31,NA,NA,NA,NA
PR-05B,PR06,PR,2015,1,164,2015-06-13,Stream,Stream,51.20215,-63.92315,4.93,99.9928830333726,6.11,5.55916230366492,NA
PR-05B,PR06.1,PR,2015,1,164,2015-06-13,Stream,Stream,51.20215,-63.92315,4.93,NA,NA,NA,NA
PR-05B,PR06.2,PR,2015,1,164,2015-06-13,Stream,Stream,51.20215,-63.92315,4.93,NA,NA,NA,NA
PR-06A,PR07,PR,2015,1,164,2015-06-13,Stream,Stream,51.1863,-63.9319,9.73,97.5809235039018,5.26,4.08219895287958,2063000
PR-06A,PR07.1,PR,2015,1,164,2015-06-13,Stream,Stream,51.1863,-63.9319,9.73,NA,NA,NA,NA
PR-06A,PR07.2,PR,2015,1,164,2015-06-13,Stream,Stream,51.1863,-63.9319,9.73,NA,NA,NA,NA
PR-03B,PR09,PR,2015,1,165,2015-06-14,Stream,Stream,51.30254,-63.87091,8.41,101.48121358256,6.54,10.4352714423386,834000
PR-03B,PR09.1,PR,2015,1,165,2015-06-14,Stream,Stream,51.30254,-63.87091,8.41,NA,NA,NA,NA
PR-03B,PR09.2,PR,2015,1,165,2015-06-14,Stream,Stream,51.30254,-63.87091,8.41,NA,NA,NA,NA
PR-03B,PR09.3,PR,2015,1,165,2015-06-14,Stream,Stream,51.30254,-63.87091,8.41,NA,NA,NA,NA
PR-03A,PR10,PR,2015,1,165,2015-06-14,Stream,Stream,51.303572,-63.869197,8.62,101.778828023505,6.46,7.09424083769633,NA
PR-03A,PR10.1,PR,2015,1,165,2015-06-14,Stream,Stream,51.303572,-63.869197,8.62,NA,NA,NA,NA
PR-03A,PR10.2,PR,2015,1,165,2015-06-14,Stream,Stream,51.303572,-63.869197,8.62,NA,NA,NA,NA
PR-03A,PR10.3,PR,2015,1,165,2015-06-14,Stream,Stream,51.303572,-63.869197,8.62,NA,NA,NA,NA
PR-02B,PR11,PR,2015,1,165,2015-06-15,Stream,Stream,51.3055,-63.86446,10.09,97.4837788473897,7.41,6.35183246073298,659000
PR-02B,PR11.1,PR,2015,1,166,2015-06-15,Stream,Stream,51.3055,-63.86446,10.09,NA,NA,NA,NA
PR-02B,PR11.2,PR,2015,1,166,2015-06-15,Stream,Stream,51.3055,-63.86446,10.09,NA,NA,NA,NA
PR-02B,PR11.3,PR,2015,1,166,2015-06-15,Stream,Stream,51.3055,-63.86446,10.09,NA,NA,NA,NA
PR-02A,PR12,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,97.089404423383,6.98,5.64869109947644,NA
PR-02A,PR12.1,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
PR-02A,PR12.2,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
PR-02A,PR12.3,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
PR-02A,PR12.4,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
